mls_id,date_collected,description,bedrooms,bathrooms,size_sqft,stories,house_cat,price,address_number,street_name,full_street_name,locality,municipality,province_state,postal_code,pool_mentioned,lat,lon,street_name_std
X12556046,2026-01-15 18:03:47.242298+00:00,"Home Inspection Available Upon request! This beautifully maintained Brooklyn model home is move-in ready and offers the perfect blend of style, comfort, and functionality. Featuring 3 spacious bedrooms, a full bathroom on the second floor, a powder room on the main floor, and an extra full bathroom in the finished walk-out basement, it's ideal for both everyday living and entertaining. Inside, gleaming hardwood floors and elegant custom staircases by Century Stairs complement the main floor layout with a chef's kitchen, stainless steel appliances, double sinks, and abundant counter space, featuring a pass-through opening to the living area. The living room opens to a second-storey deck, while the dining area includes a cozy sitting nook with an electric fireplace on its own panel and a stunning true black walnut mantel. Large windows fill the space with natural light. The primary suite offers two custom window benches and chic closet doors. Upgrades include popcorn ceiling removal (2021), new LG microwave and washer (2024), new blinds (2023), and a new owned furnace, AC, and thermostat (2022). Outside,pride of ownership shines with a concrete driveway, stamped walkway, manicured landscaping enhanced by two beautiful mature maple trees, full fencing, a newer roof (2018), and a charming shed. Professionally redecorated by an architect-this home is sure to impress! (41671413)",3,3.0,1099.99,2.0,House,839900.0,5,5 FLEMING ROAD,"5 FLEMING ROAD|Guelph (Grange Road), Ontario N1E7G3",Grange Road,Guelph (Grange Road),Ontario,N1E7G3,False,43.5667027,-80.2178618,5 fleming road
40787043,2026-01-15 18:03:47.242298+00:00,"Welcome to 92 Schroder Crescent - a thoughtfully designed bungaloft that combines main-floor convenience with versatile space for the moments that matter. With 3+1 bedrooms and 4 full bathrooms, this home adapts beautifully to your lifestyle, whether you're empty nesters seeking space for visiting family, accommodating multi-generational living, or providing independence for teens or adult children.  Step through the charming brick exterior and covered front porch into an inviting open concept living and dining area featuring soaring vaulted ceilings and gleaming hardwood floors. The space flows seamlessly to a rear deck, perfect for entertaining or quiet relaxation. A gourmet kitchen showcases granite countertops, stainless steel appliances, and a peninsula with bar seating - everything you need within easy reach. Your main floor primary bedroom suite offers privacy and convenience with an ensuite bathroom and nearby laundry. The main floor den serves as an ideal home office or guest room, with a full bathroom just steps away.The second floor provides a comfortable retreat with a secondary family room overlooking the main living space below, plus a bedroom and full bathroom. The finished walk-out lower level offers even more options with a fourth bedroom, fourth bathroom, recreation room, and abundant storage. Step outside to your private lower level patio, where the covered area invites you to add a hot tub and enjoy the outdoors year-round!Nestled in a desirable East end location close to parks, trails, and amenities, this home lets you enjoy the lifestyle you've earned while keeping plenty of space for the people you love. (69881380)",2 + 1,4.0,2622.0000,1.0,Row / Townhouse,839999.0,92,92 SCHRODER Crescent,"92 SCHRODER Crescent|Guelph, Ontario N1E7B4",,Guelph,Ontario,N1E7B4,False,43.55911473,-80.22566271,92 schroder crescent
X12518638,2026-01-15 18:03:47.242298+00:00,"Welcome to 17 Terraview, a beautiful bungaloft in one of Guelphs most sought-after neighbourhoods. Designed for accessible main-floor living, this home features a spacious primary bedroom with an ensuite and convenient main-floor laundry, making day-to-day life easy and comfortable. Inside, youll be greeted by cathedral ceilings and large windows that fill the space with natural light. The living room opens to a balcony, the perfect spot to enjoy your morning coffee. The walk-out basement extends your living space, leading to a private deck and backyard retreat. Downstairs is partially finished, offering flexible options for a workshop, office, or an additional bedroom, plus a full bathroom already in place, ready for your finishing touches. This home offers a rare blend of comfort and versatility, all in a fantastic Guelph location. As part of the Somerset community, you will also enjoy access to the Somerset Neighbourhood Clubhouse, complete with a party room, lounge and billiards area, and kitchen - ideal for gatherings and events. Situated near Stone Road Mall, the University of Guelph, Preservation Park, scenic trails, schools, and quick access to Highway 401, you'll have everything you need just minutes away. Don't miss this opportunity to enjoy the perfect mix of convenience, charm, and potential in the heart of Guelph. (41595447) | Amenities: Fireplace(s)",2,4.0,1499.99,1.5,Row / Townhouse,845999.0,17,17 TERRAVIEW CRESCENT,"17 TERRAVIEW CRESCENT|Guelph (Kortright West), Ontario N1G5A7",Kortright West,Guelph (Kortright West),Ontario,N1G5A7,False,43.510441,-80.2145749,17 terraview crescent
X12539876,2026-01-15 18:03:47.242298+00:00,"Welcome To 70 Pinnacle Crescent! The Perfect Home For Multigenerational Living, Savvy Investors, Or First-Time Buyers. This Raised Bungalow Offers Two Separate Living Spaces - Live In One And Rent Out The Other! Legal Basement Apartment. The Main Floor Features Newer Laminate Flooring Throughout And A Wonderful Open-Concept Layout With A Bright Eat-In Kitchen, A Spacious Living And Dining Area Highlighted By Vaulted Cathedral Ceilings. Enjoy Cozy Movie Nights In The Bonus Family Room With A Charming Brick Fireplace. Step Out Onto Your Large Deck Overlooking A Lush, Treed Lot Offering Privacy From Neighbouring Homes. The Main Level Includes Three Spacious Bedrooms, With The Primary Bedroom Featuring Its Own 4-Piece Ensuite. The Lower Level Has A Separate Entrance From Both The Garage And The Backyard, Making It An Ideal In-Law Suite Or Rental Unit. It Includes A Full Kitchen, A Large Bedroom With A 4-Piece Ensuite, And A Spacious Rec Room. You'll Also Find Ample Storage Space In The Laundry Area, Along With An Additional Storage / Finished Flex Room That Could Easily Be Converted Into A Den Or Home Office. Just Over 3,000 sqft of Total Living Space. Move-In Ready Or Customize To Your Taste, This Home Offers Endless Potential On One Of The Nicest Lots On The Street. Ideal Location Close To Schools, Parks, Shopping, And The Hanlon/Hwy 6, Perfect for Commuters. (41638191) | Amenities: Fireplace(s)",3 + 1,3.0,1499.99,1.0,House,849000.0,70,70 PINNACLE CRESCENT,"70 PINNACLE CRESCENT|Guelph (Willow West/Sugarbush/West Acres), Ontario N1K1P6",Willow West/Sugarbush/West Acres,Guelph (Willow West/Sugarbush/West Acres),Ontario,N1K1P6,False,43.5223152,-80.2711722,70 pinnacle crescent
40788286,2026-01-15 18:03:47.242298+00:00,"Located on a quiet street in the heart of Guelph, this beautifully maintained all-brick bungalow offers 2+1 bedrooms, 2 full bathrooms, and a powder room. The carpet-free main floor features a large living room, family room, and formal dining room. The kitchen, with a skylight, has been completely custom rebuilt and features a gas stove — along with many practical details and clever storage solutions — perfect for the family chef. Two gas fireplaces fill the home with warmth, perfect for cozy evenings — one on the main floor and one in the basement. The large basement provides ample storage space and a hobby shop area. The home has been thoughtfully updated, including all new windows (2021), a new front door (2023), a new roof (2019), and unique front landscaping with dry-river drainage on both sides. Barrier-free living is made easy with an elegant, custom-made wheelchair ramp at the front entrance, providing accessibility without compromising style. Step into your private, beautifully landscaped backyard, perfect for relaxing, entertaining, or gardening. The covered porch is ideal for enjoying a morning cup of tea — even on rainy days. Located in the heart of Guelph on a quiet street, this home is just steps from Jean Little Public School, St. Michael Catholic School, and Rickson Park. It’s also a short distance to the University of Guelph, shopping centers including Stone Road Mall, grocery stores, restaurants, banks, fitness centers, and all other amenities — making it a fantastic neighborhood to live in. (69897396)",2 + 1,3.0,1732.0000,1.0,House,849000.0,9,9 SMART Street,"9 SMART Street|Guelph, Ontario N1G4L4",,Guelph,Ontario,N1G4L4,False,43.51825594,-80.22599847,9 smart street
X12491248,2026-01-15 18:03:47.242298+00:00,"Welcome home to 23 Collingwood Street, nestled in Guelph's sought-after Riverside Park neighbourhood. This charming bungaloft features two main-floor bedrooms and a spacious primary suite just upstairs. The main level showcases beautiful hardwood flooring and an open-concept kitchen and living area, completely updated in 2018 for modern comfort and style. The finished lower level offers even more living space, with a fourth bedroom, a cozy rec room with a gas fireplace, a full three-piece bathroom, laundry, and plenty of storage. Step outside to enjoy a private backyard with a newer deck and a storage shed-perfect for relaxing or entertaining. The property also includes an attached garage and parking for 4+ vehicles. Located within walking distance of Riverside Park, shopping, scenic trails, and more, this home blends comfort, convenience, and character in one of Guelph's most beloved communities. (41539526) | Amenities: Fireplace(s)",3 + 1,2.0,1099.99,1.5,House,849900.0,23,23 COLLINGWOOD STREET,"23 COLLINGWOOD STREET|Guelph (Riverside Park), Ontario N1E3R2",Riverside Park,Guelph (Riverside Park),Ontario,N1E3R2,False,43.567095,-80.2642653,23 collingwood street
X12434691,2026-01-15 18:03:47.242298+00:00,"This spacious 2.2-acre vacant lot fronting on to Highway 7,  offers a prime opportunity to build your ever wanted dream home or invest in for the future commercial/industrial potential, established neighborhood. Situated on Highway 7 with easy access to electricity, and gas. The lot features level terrain with few trees front, providing natural privacy. Zoned Residential, it allows for single-family construction and possible accessory structures. Conveniently located just 8 minutes from Guelph University and downtown , schools, shopping, and parks. Dont miss this ready-to-build parcel in a fast-growing area of Guelph! adjusting lot of approx. 1.8 acres for sale as well. (41364998)",,0.0,,,,849900.0,8011,8011 HIGHWAY 7 S,"8011 HIGHWAY 7 S|Guelph/Eramosa, Ontario N1H6H8",,Guelph/Eramosa,Ontario,N1H6H8,False,43.5807435,-80.1852334,8011 highway 7 s
X12394289,2026-01-15 18:03:47.242298+00:00,"This end-unit semi-detached freehold bungaloft is a rare find in East End Guelph. With soaring ceilings, oversized windows, and sunlight streaming in from every angle, the home feels open, bright, and welcoming. The main-floor accessible primary suite, features a full ensuite, making everyday living easy and comfortable. You'll also love the convenience of main-floor laundry, plus a den that offers flexible space perfect as a home office, cozy sitting room, or even a potential third bedroom. Upstairs, the loft features a bright bedroom with a walk-in closet, an inviting light-filled reading nook, and a full bathroom, providing comfort and versatility for family or guests. The home includes three full bathrooms, accommodating everyone with ease. The living area is spacious and practical, while the cozy kitchen opens to the backyard via a sliding door perfect for casual meals or outdoor entertaining. Storage will never be an issue, with ample closets throughout and a double-car garage plus two driveway spots, totaling four parking spaces. The basement is partially finished and ready for your finishing touches giving you the opportunity to create additional living space exactly how you want it. Set in a friendly, welcoming neighbourhood, this home is surrounded by well-maintained homes and neighbours who look out for one another, creating a true sense of belonging. With schools, shopping including Grange & Victoria Plaza and walking trails nearby, this is a place where you can settle in for the long term and enjoy all stages of life in one home. 22 Thornton Street isn't just a home - its where convenience meets comfort, with a little extra sparkle. (41236419)",2,3.0,1499.99,1.5,Row / Townhouse,849999.0,22,22 THORNTON STREET,"22 THORNTON STREET|Guelph (Grange Road), Ontario N1E7B1",Grange Road,Guelph (Grange Road),Ontario,N1E7B1,False,43.5589573,-80.2272883,22 thornton street
X12473875,2026-01-15 18:03:47.242298+00:00,"Welcome to this charming detached family home on highly desirable Woodborough Road, offering excellent curb appeal and a welcoming atmosphere. Featuring an attached garage and a stamped concrete driveway with parking for up to four vehicles, the home also boasts a covered front porch that is perfect for enjoying your morning coffee. Step inside to a bright and open main floor layout, where natural light flows throughout. From here, patio doors lead you to a spacious backyard. The fully fenced backyard is a private retreat, complete with an on-ground pool, additional deck space, and a covered area that is ideal for enjoying summer days and evenings, rain or shine. Upstairs, you'll find three generously sized bedrooms and a full bathroom, perfect for growing families or guests. The finished basement adds even more living space, offering a large rec. room and an additional room that can serve as a den, bedroom, or flex space to suit your needs. A three-piece bathroom and a convenient walk-up entrance to the garage complete the lower level. This home has everything you need for comfortable, versatile living. Note: Seller will not respond to offers before 10/24. Sellers Schedules to accompany all offers, allow 72 hrs. irrevocable. Buyers to verify taxes, rentals, parking and all fees. (41488215)",3,2.0,1099.99,2.0,House,850000.0,10,10 WOODBOROUGH ROAD,"10 WOODBOROUGH ROAD|Guelph (Kortright West), Ontario N1G3K5",Kortright West,Guelph (Kortright West),Ontario,N1G3K5,True,43.5084,-80.2300628,10 woodborough road
X12587742,2026-01-15 18:03:47.242298+00:00,"Honey, I'm home! After 26 years, the original-and only-owners of this impressive property are ready to pass the keys to the next family to create their own memories. This custom-built Pidel former model back-split offers a beautiful blend of quality construction, timeless features, thoughtful updates, and calming, cohesive décor.With over 2,000 sq. ft. of living space, three bedrooms, two updated bathrooms, and multiple inviting living areas, this home is designed for both comfortable everyday living and effortless entertaining. Large windows, a skylight, and cathedral ceilings create an exceptionally bright and welcoming atmosphere across all levels. Outside, the home greets you with charming curb appeal, including a spacious front porch, stone walkway, mature landscaping, and a generous driveway. The private, fully-fenced backyard is a true highlight-featuring a 15' x 20' covered deck overlooking a healthy lawn, attractive storage shed while still offering space for kids, pets and entertaining. Lovingly maintained and meticulously cared for, this home feels fresh, modern, and move-in ready. Situated on a quiet street in a lovely, mature neighbourhood in Guelph's east end-walking distance to two elementary schools, parks, trails, sports fields, and convenient amenities - a property like this truly doesn't come along very often. All that's left is for you to come see it, fall in love, and make it yours. (41736441) | Amenities: Fireplace(s)",3,2.0,1499.99,,House,854900.0,75,75 HILL TRAIL,"75 HILL TRAIL|Guelph (Grange Road), Ontario N1E7C6",Grange Road,Guelph (Grange Road),Ontario,N1E7C6,False,43.5730323,-80.2213913,75 hill trail
X12463311,2026-01-15 18:03:47.242298+00:00,"A Hikers Dream Near Guelph Lake Perfect for First-Time Buyers or Empty Nesters! Discover this meticulously cared-for 2+1 bedroom, 3-bath bungalow just minutes from Guelph Lake trails! The open-concept layout with soaring 14' ceilings boasting nearly 1,500 sq. ft. of main-level living, featuring an updated kitchen, serene primary bedroom with spa-like ensuite and steam shower, and bright spaces throughout. The fully finished lower level adds flexibility with a bright bedroom, office/4th bedroom, full bath, and a cozy rec room with gas fireplace. Outdoor living is a dream with a multi-level deck, Napoleon gas grill station, stone waterfall countertop, beverage fridge, and low-maintenance, fenced backyard with gardens and storage shed. With a double garage and total parking for 4, this home blends outdoor adventure with modern comfort in a prime location. Whether you're starting out or downsizing, this is your chance to enjoy nature and convenience. Don't wait make it yours today! (41454478) | Amenities: Fireplace(s)",2 + 1,3.0,1099.99,1.0,House,1149900.0,14,14 ATTO DRIVE,"14 ATTO DRIVE|Guelph (Victoria North), Ontario N1E0E4",Victoria North,Guelph (Victoria North),Ontario,N1E0E4,False,43.5811889,-80.2570265,14 atto drive
